city,state_name,county_name,population,zip_counts,trx_counts,presc_counts
SHAFTER,CA,KERN,21734,2,2029,12
MANCHESTER,TN,COFFEE,12433,2,7246,35
PATASKALA,OH,LICKING,15883,2,2483,10
CLYDE,TX,CALLAHAN,3879,1,1459,8
DEVON,PA,CHESTER,1869,2,1175,11
ENID,OK,GARFIELD,49688,5,19190,89
LAKE JACKSON,TX,BRAZORIA,75860,2,9424,46
TRENTON,TN,GIBSON,4180,1,3945,12
LIBERTY,SC,PICKENS,3154,1,2403,6
HAYDEN,ID,KOOTENAI,15434,1,2304,16
UMATILLA,FL,LAKE,3861,1,1781,9
PANTEGO,TX,TARRANT,2519,1,91,1
CLAYMONT,DE,NEW CASTLE,9330,1,328,4
HEWITT,TX,MCLENNAN,14937,1,1384,5
MOUNDS,OK,CREEK,1262,1,14,1
BAXLEY,GA,APPLING,5515,2,9011,18
JACKSON,OH,JACKSON,11462,1,12308,28
RICHLAND,IN,SPENCER,391,1,11,1
GAINESVILLE,MO,OZARK,723,1,244,3
TABOR CITY,NC,COLUMBUS,6355,1,560,3
LITTLETON,NC,HALIFAX,588,1,2643,5
COLBY,WI,CLARK,1949,1,1326,8
FALFURRIAS,TX,BROOKS,4812,1,543,2
NEW LONDON,OH,HURON,2358,1,608,2
HIGHLAND SPRINGS,VA,HENRICO,16459,2,551,2
WEST LAWN,PA,BERKS,1567,1,88,3
RESERVE,LA,ST. JOHN THE BAPTIST,8611,2,32,2
ROGERSVILLE,PA,GREENE,232,3,262,2
BLAWNOX,PA,ALLEGHENY,1388,1,197,1
WEST DUNDEE,IL,KANE,8113,1,56,2
THIELLS,NY,ROCKLAND,4870,2,80,2
SHOALS,IN,MARTIN,789,1,1702,2
HUNTSVILLE,AL,MADISON,319249,25,69640,415
GENEVA,NE,FILLMORE,2086,1,1435,7
GADSDEN,AL,ETOWAH,60944,4,36333,144
JACKSONVILLE,NC,ONSLOW,108856,7,16549,112
GARFIELD HEIGHTS,OH,CUYAHOGA,27448,2,5225,18
SUNBURY,PA,NORTHUMBERLAND,27921,1,6120,19
ISLIP TERRACE,NY,SUFFOLK,5579,1,567,5
KYLE,TX,HAYS,48393,2,6375,42
HUBER HEIGHTS,OH,MONTGOMERY,38154,1,8810,33
FIRCREST,WA,PIERCE,6835,1,367,8
EL DORADO SPRINGS,MO,CEDAR,3612,1,2618,10
UNION SPRINGS,AL,BULLOCK,4547,1,1726,5
CLIO,MI,GENESEE,2497,1,1414,9
HILLSBORO,WI,VERNON,1393,1,1543,7
PALMER,MA,HAMPDEN,12232,4,3295,28
POLSON,MT,LAKE,5370,1,3318,20
RUSHVILLE,NY,YATES,666,1,1350,6
SHEPHERDSVILLE,KY,BULLITT,12442,2,8759,29
EULESS,TX,TARRANT,57197,3,8144,32
NORTH PALM BEACH,FL,PALM BEACH,13127,1,3268,21
SHIPPENSBURG,PA,CUMBERLAND,17234,1,2540,9
MERCHANTVILLE,NJ,CAMDEN,3700,1,1108,10
WARREN,MN,MARSHALL,1552,1,378,2
WINNER,SD,TRIPP,2833,1,852,8
BEVERLY,OH,WASHINGTON,1332,1,69,2
OTTAWA,IL,LASALLE,19839,1,7448,27
SAXONBURG,PA,BUTLER,1438,1,1421,8
ANGIER,NC,HARNETT,5415,1,750,5
WEST YARMOUTH,MA,BARNSTABLE,5741,1,430,5
PLUMMER,ID,BENEWAH,1029,1,395,5
RIPLEY,WV,JACKSON,4073,1,3559,17
PULASKI,WI,BROWN,3721,1,606,6
CALIPATRIA,CA,IMPERIAL,7114,1,13,1
BEXLEY,OH,FRANKLIN,13770,1,12,1
POMEROY,WA,GARFIELD,1395,1,346,4
NORTH PLAINS,OR,WASHINGTON,2203,1,677,2
CARRIZOZO,NM,LINCOLN,935,1,453,2
ROCHESTER,IL,SANGAMON,3709,1,24,1
ORMOND BEACH,FL,VOLUSIA,43759,4,28348,125
AMSTERDAM,NY,MONTGOMERY,21241,1,12054,65
CURWENSVILLE,PA,CLEARFIELD,2581,1,636,2
FREEPORT,IL,STEPHENSON,24092,1,10472,42
LAWRENCE,KS,DOUGLAS,98648,5,17233,114
IOTA,LA,ACADIA,1433,1,131,2
HAMBURG,IA,FREMONT,1060,1,2750,8
BENSON,NC,JOHNSTON,3922,1,9476,32
LOW MOOR,VA,ALLEGHANY,207,1,4895,14
CALHOUN,GA,GORDON,34754,2,15325,51
WEST BEND,WI,WASHINGTON,69504,2,9750,53
RATON,NM,COLFAX,5938,1,2334,11
PLEASANT GROVE,UT,UTAH,38258,1,1610,13
HERINGTON,KS,DICKINSON,2268,1,526,5
WHITERIVER,AZ,NAVAJO,4296,1,816,13
ALISO VIEJO,CA,ORANGE,50887,1,2975,33
WEST UNION,IA,FAYETTE,2305,1,1231,7
LAPEER,MI,LAPEER,12959,1,11574,43
CHICKASHA,OK,GRADY,16431,2,6373,28
RANSHAW,PA,NORTHUMBERLAND,319,1,991,2
TRINITY,FL,PASCO,11493,1,11034,47
BLUE POINT,NY,SUFFOLK,4942,1,12,1
JACKSON,GA,BUTTS,5418,1,2925,10
LAURYS STATION,PA,LEHIGH,973,1,1047,5
STUART,IA,GUTHRIE,1728,1,58,1
ELDERSBURG,MD,CARROLL,31108,2,2680,22
VERMILION,OH,ERIE,10394,1,1790,7
LA VISTA,NE,SARPY,17170,1,1758,8
JOHNSONBURG,PA,ELK,2291,1,985,4
RED BAY,AL,FRANKLIN,3085,1,1219,5
ADA,OH,HARDIN,5544,1,1239,4
SMITHTON,PA,WESTMORELAND,373,1,843,1
LOCKWOOD,MO,DADE,899,1,919,5
TALKEETNA,AK,MATANUSKA-SUSITNA,1237,1,65,2
BIG SANDY,MT,CHOUTEAU,562,1,170,3
NEWTON,AL,DALE,1456,3,198,1
PACOLET,SC,SPARTANBURG,2550,2,1340,3
MAZON,IL,GRUNDY,967,1,584,1
FREE UNION,VA,ALBEMARLE,261,2,260,2
CONCRETE,WA,SKAGIT,738,1,289,1
MACON,GA,BIBB,153159,21,79542,370
SURFSIDE BEACH,SC,HORRY,4525,1,3817,12
TUCSON,AZ,PIMA,888486,35,191818,1310
FALLS CHURCH,VA,FALLS CHURCH,14617,2,13730,159
ALBERTSON,NY,NASSAU,5225,2,794,9
WILSON,NC,WILSON,49483,4,22835,102
MACOMB,IL,MCDONOUGH,18006,1,4483,25
FREDONIA,NY,CHAUTAUQUA,10303,1,3711,12
SWARTZ CREEK,MI,GENESEE,5501,2,707,5
PARADISE VALLEY,AZ,MARICOPA,14637,1,2242,22
KNOX,IN,STARKE,3545,1,3974,13
CHESTERTOWN,MD,KENT,6878,2,6190,25
WOODLAWN,VA,FAIRFAX,24351,1,12261,18
ORLAND,CA,GLENN,9964,1,1345,9
WASECA,MN,WASECA,8984,1,2035,5
BYRAM,MS,HINDS,11428,3,872,8
OAKDALE,NY,SUFFOLK,6984,1,308,7
RED LION,PA,YORK,6330,1,3534,14
PEMBROKE,VA,GILES,1081,1,625,2
CAVE CREEK,AZ,MARICOPA,5838,3,2166,12
CATASAUQUA,PA,LEHIGH,6599,1,1486,4
ARTHUR,IL,DOUGLAS,2200,1,2393,5
HIGGINSVILLE,MO,LAFAYETTE,4609,1,4258,8
WISNER,LA,FRANKLIN,900,1,610,2
POINT PLEASANT BEACH,NJ,OCEAN,4551,1,1100,3
ROANOKE,TX,DENTON,9388,1,169,1
WENONA,IL,MARSHALL,938,1,50,2
ELDRIDGE,IA,SCOTT,6846,1,2465,5
SCIO,OR,LINN,1002,1,43,1
PALO CEDRO,CA,SHASTA,1143,1,221,4
HAWORTH,NJ,BERGEN,3393,1,408,4
SUNSET,LA,ST. LANDRY,3457,1,2945,7
SLAYTON,MN,MURRAY,1974,1,1240,5
WELSH,LA,JEFFERSON DAVIS,3227,1,925,3
MONROVIA,MD,FREDERICK,903,1,144,1
WELLINGTON,TX,COLLINGSWORTH,2068,1,262,3
SCHROON LAKE,NY,ESSEX,769,1,160,2
BALDWINSVILLE,NY,ONONDAGA,7822,1,1814,10
FAIRFAX,VA,FAIRFAX,24019,3,22370,318
